station,time,From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,WS,WD,SR,BP,AT,RF,TOT-RF,latitude,longitude
"Okhla Phase-2, Delhi - DPCC",2022-01-01 00:30:00,2022-01-01 00:00:00,2022-01-01 01:00:00,326.0,469.5,134.97,74.83,150.35,68.38,10.2,1.95,3.73,10.7,83.53,73.25,0.48,37.22,4.15,997.67,10.38,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 01:30:00,2022-01-01 01:00:00,2022-01-01 02:00:00,330.75,478.25,117.17,70.8,133.32,60.5,10.88,1.6,3.33,10.25,83.45,74.38,0.4,81.57,4.15,997.48,10.08,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 02:30:00,2022-01-01 02:00:00,2022-01-01 03:00:00,304.25,417.0,75.1,69.6,98.17,61.42,10.45,0.98,2.88,8.7,81.47,73.4,0.5,138.45,4.12,997.2,10.2,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 03:30:00,2022-01-01 03:00:00,2022-01-01 04:00:00,259.5,354.25,72.9,70.2,96.6,60.52,10.25,0.57,3.03,7.3,68.9,73.83,0.53,149.03,4.15,997.02,10.03,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 04:30:00,2022-01-01 04:00:00,2022-01-01 05:00:00,245.0,339.5,74.12,70.28,97.7,66.1,9.83,0.33,4.28,7.0,57.52,74.47,0.57,133.0,4.2,996.7,9.68,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 05:30:00,2022-01-01 05:00:00,2022-01-01 06:00:00,230.0,316.5,65.2,64.55,87.35,71.88,8.0,0.23,3.3,6.97,54.6,74.68,0.47,36.0,4.17,996.83,9.25,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 06:30:00,2022-01-01 06:00:00,2022-01-01 07:00:00,215.75,298.5,45.22,63.25,70.55,66.57,7.07,1.0,3.02,6.27,54.73,75.47,0.43,84.8,4.2,997.1,8.97,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 07:30:00,2022-01-01 07:00:00,2022-01-01 08:00:00,201.25,280.5,58.5,64.72,82.0,66.35,8.28,1.08,3.85,6.22,52.88,75.72,0.38,52.6,10.32,997.62,9.07,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 08:30:00,2022-01-01 08:00:00,2022-01-01 09:00:00,206.75,299.25,43.65,72.65,74.12,62.7,8.97,1.0,4.17,6.3,48.73,70.88,0.65,99.95,33.22,998.45,10.35,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 09:30:00,2022-01-01 09:00:00,2022-01-01 10:00:00,212.0,318.0,35.5,77.82,70.33,57.9,10.43,0.95,6.0,5.75,42.4,67.38,0.88,157.8,61.65,999.03,12.1,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 10:30:00,2022-01-01 10:00:00,2022-01-01 11:00:00,209.5,323.5,17.38,76.7,54.95,57.85,11.5,0.78,16.88,5.12,34.95,61.18,1.32,157.85,117.03,999.35,14.48,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 11:30:00,2022-01-01 11:00:00,2022-01-01 12:00:00,198.75,302.5,6.03,59.38,36.55,58.0,11.98,0.57,41.92,4.25,30.05,55.6,2.17,177.65,154.2,998.62,16.62,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 12:30:00,2022-01-01 12:00:00,2022-01-01 13:00:00,188.0,267.5,3.85,56.3,33.08,62.72,12.7,0.83,60.6,3.67,25.1,52.2,1.88,174.18,268.48,997.6,18.4,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 13:30:00,2022-01-01 13:00:00,2022-01-01 14:00:00,183.0,256.75,3.58,55.15,32.33,69.15,9.88,0.85,78.75,3.88,25.5,50.7,1.27,170.08,162.98,996.5,19.15,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 14:30:00,2022-01-01 14:00:00,2022-01-01 15:00:00,175.0,253.25,1.88,47.62,26.82,69.0,10.3,0.8,96.95,4.15,51.4,49.1,1.3,165.18,114.67,995.68,19.0,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 15:30:00,2022-01-01 15:00:00,2022-01-01 16:00:00,169.5,243.75,1.25,48.65,26.95,63.57,14.6,0.75,97.05,4.42,95.2,48.02,0.82,175.4,77.32,995.17,19.0,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 16:30:00,2022-01-01 16:00:00,2022-01-01 17:00:00,176.75,253.75,4.22,98.35,55.83,58.1,10.57,1.2,57.2,7.72,83.85,52.27,0.72,141.93,37.85,995.07,17.77,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 17:30:00,2022-01-01 17:00:00,2022-01-01 18:00:00,207.5,319.75,92.5,144.3,152.12,52.8,11.0,2.0,3.38,6.78,85.6,60.48,0.52,160.43,8.38,995.2,15.47,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 18:30:00,2022-01-01 18:00:00,2022-01-01 19:00:00,258.75,404.0,104.67,134.78,157.02,61.87,11.33,2.17,3.85,8.77,125.45,66.15,0.9,159.82,4.17,995.8,14.72,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 19:30:00,2022-01-01 19:00:00,2022-01-01 20:00:00,300.25,448.5,188.18,127.55,221.2,58.65,11.65,2.9,3.15,9.8,105.3,70.55,0.43,161.72,4.15,996.15,13.62,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 20:30:00,2022-01-01 20:00:00,2022-01-01 21:00:00,326.25,482.75,146.68,115.38,181.0,71.88,10.38,2.78,4.15,10.4,101.27,73.75,0.38,137.68,4.12,996.83,12.8,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 21:30:00,2022-01-01 21:00:00,2022-01-01 22:00:00,327.25,464.25,143.35,113.12,177.05,80.33,7.97,2.95,4.12,10.32,95.35,73.88,0.35,123.55,4.2,997.1,12.5,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 22:30:00,2022-01-01 22:00:00,2022-01-01 23:00:00,348.25,496.5,190.6,93.8,205.08,81.12,8.7,3.33,4.35,11.38,96.9,76.07,0.47,132.0,4.2,997.1,11.75,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 23:30:00,2022-01-01 23:00:00,2022-01-02 00:00:00,350.0,498.0,231.43,89.1,235.82,74.47,9.38,3.2,3.7,12.02,101.65,77.95,0.53,106.7,4.2,996.83,11.25,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 00:30:00,2022-01-02 00:00:00,2022-01-02 01:00:00,337.25,472.25,227.35,75.6,225.68,72.62,9.0,2.25,3.1,10.78,88.9,78.48,0.5,138.95,4.18,996.55,10.7,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 01:30:00,2022-01-02 01:00:00,2022-01-02 02:00:00,342.75,489.0,194.82,65.97,194.0,67.75,10.4,1.85,3.03,10.33,85.3,80.72,0.42,150.43,4.2,995.97,10.28,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 02:30:00,2022-01-02 02:00:00,2022-01-02 03:00:00,347.5,474.75,317.8,61.5,291.95,61.95,13.28,2.02,3.02,9.9,90.82,81.25,0.47,150.55,4.2,995.65,9.85,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 03:30:00,2022-01-02 03:00:00,2022-01-02 04:00:00,360.25,523.75,131.32,57.9,137.75,64.28,10.6,1.23,1.95,9.65,89.3,80.7,0.5,59.43,4.2,995.4,9.85,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 04:30:00,2022-01-02 04:00:00,2022-01-02 05:00:00,320.75,422.5,113.47,58.23,123.4,69.4,8.95,0.88,3.52,8.28,75.62,80.18,0.47,119.32,4.15,995.23,9.8,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 05:30:00,2022-01-02 05:00:00,2022-01-02 06:00:00,310.5,413.0,48.8,64.7,72.0,78.93,6.35,0.47,3.45,8.03,75.62,77.05,0.53,124.8,4.12,995.62,10.38,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 06:30:00,2022-01-02 06:00:00,2022-01-02 07:00:00,291.75,369.75,53.85,64.65,78.03,72.6,6.57,1.15,3.58,7.3,62.75,78.18,0.55,150.95,4.2,995.8,9.85,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 07:30:00,2022-01-02 07:00:00,2022-01-02 08:00:00,298.25,381.5,152.05,56.98,154.35,72.15,10.88,1.77,3.88,8.03,64.57,80.47,0.62,161.82,10.17,996.27,9.38,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 08:30:00,2022-01-02 08:00:00,2022-01-02 09:00:00,314.0,426.5,88.82,71.08,110.0,67.85,11.45,1.55,3.2,8.53,67.1,77.03,0.38,294.15,32.85,997.1,10.53,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 09:30:00,2022-01-02 09:00:00,2022-01-02 10:00:00,321.5,426.25,42.72,83.53,79.25,61.33,11.75,1.32,4.65,7.83,54.05,70.53,0.57,128.18,66.4,997.83,12.52,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 10:30:00,2022-01-02 10:00:00,2022-01-02 11:00:00,306.0,425.25,19.3,85.77,61.33,61.4,12.75,0.98,14.9,6.62,46.18,62.4,1.25,162.9,121.07,997.75,14.97,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 11:30:00,2022-01-02 11:00:00,2022-01-02 12:00:00,266.0,373.5,7.8,82.42,50.17,60.55,13.85,0.7,35.8,5.18,37.48,54.3,1.38,158.25,149.45,997.1,17.25,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 12:30:00,2022-01-02 12:00:00,2022-01-02 13:00:00,233.5,328.25,4.12,66.23,38.58,62.25,14.63,0.85,63.7,4.55,34.1,48.85,1.6,168.0,306.7,995.8,19.5,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 13:30:00,2022-01-02 13:00:00,2022-01-02 14:00:00,203.0,290.5,2.77,64.03,36.32,68.45,11.65,0.9,84.22,4.35,34.07,49.5,1.58,160.33,168.9,994.92,20.02,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 14:30:00,2022-01-02 14:00:00,2022-01-02 15:00:00,208.5,298.25,2.22,59.15,33.27,66.32,10.48,0.85,98.35,4.88,43.85,48.92,1.78,165.97,112.2,994.23,19.8,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 15:30:00,2022-01-02 15:00:00,2022-01-02 16:00:00,178.0,301.0,1.93,52.2,29.38,61.07,11.23,0.65,100.53,4.62,46.67,47.9,1.4,174.07,71.65,993.48,19.57,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 16:30:00,2022-01-02 16:00:00,2022-01-02 17:00:00,146.0,307.75,3.1,77.72,43.85,55.83,12.88,0.85,65.2,4.38,46.73,51.15,0.55,155.88,36.97,993.25,18.43,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 17:30:00,2022-01-02 17:00:00,2022-01-02 18:00:00,157.5,244.5,34.08,116.4,89.75,48.58,12.07,1.2,12.8,4.85,61.4,58.03,0.5,158.53,8.75,993.45,16.18,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 18:30:00,2022-01-02 18:00:00,2022-01-02 19:00:00,201.25,320.0,109.62,131.75,159.5,51.98,11.57,2.35,3.4,7.62,94.53,62.97,1.0,166.85,4.12,994.67,15.12,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 19:30:00,2022-01-02 19:00:00,2022-01-02 20:00:00,257.25,401.25,110.4,123.7,155.92,54.55,11.05,2.53,3.05,9.05,102.83,64.88,0.8,162.45,4.17,995.78,14.67,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 20:30:00,2022-01-02 20:00:00,2022-01-02 21:00:00,265.0,385.25,84.62,111.58,128.35,58.48,10.2,2.45,4.42,8.97,83.05,66.8,0.55,137.2,4.12,995.88,13.82,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 21:30:00,2022-01-02 21:00:00,2022-01-02 22:00:00,277.75,388.0,85.27,104.92,125.3,66.6,8.95,2.4,3.95,9.8,78.08,68.73,0.57,135.25,4.15,995.92,13.2,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 22:30:00,2022-01-02 22:00:00,2022-01-02 23:00:00,280.75,384.25,93.17,95.75,126.85,70.6,8.4,2.48,3.73,8.85,71.22,69.3,1.0,159.02,4.12,995.9,13.05,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-02 23:30:00,2022-01-02 23:00:00,2022-01-03 00:00:00,285.5,387.25,117.33,92.18,144.93,67.28,8.45,2.53,3.2,9.15,72.08,71.7,0.82,162.35,4.1,995.6,12.3,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 00:30:00,2022-01-03 00:00:00,2022-01-03 01:00:00,296.0,411.25,206.1,75.97,207.6,69.83,9.2,2.12,3.0,9.6,79.97,76.88,0.42,156.05,4.12,994.92,11.02,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 01:30:00,2022-01-03 01:00:00,2022-01-03 02:00:00,305.25,432.75,182.38,65.9,183.62,56.27,12.35,1.97,2.5,9.7,84.67,77.85,0.62,139.73,4.07,994.48,10.57,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 02:30:00,2022-01-03 02:00:00,2022-01-03 03:00:00,296.75,410.0,148.47,66.72,155.97,59.35,12.95,1.25,2.35,8.57,77.98,78.1,0.53,143.32,4.1,994.27,10.5,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 03:30:00,2022-01-03 03:00:00,2022-01-03 04:00:00,268.0,368.75,91.47,63.43,108.28,60.05,11.68,0.85,2.33,7.25,63.12,77.05,0.55,122.42,4.12,993.75,10.32,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 04:30:00,2022-01-03 04:00:00,2022-01-03 05:00:00,264.5,358.75,53.8,60.75,76.25,62.28,11.05,0.55,4.12,6.82,58.62,76.78,0.45,85.72,4.15,993.55,10.35,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 05:30:00,2022-01-03 05:00:00,2022-01-03 06:00:00,264.5,350.5,66.25,55.08,83.5,69.98,9.93,0.6,3.6,7.47,56.58,78.38,0.47,135.45,4.15,993.65,9.93,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 06:30:00,2022-01-03 06:00:00,2022-01-03 07:00:00,263.75,348.25,42.12,61.0,66.77,73.35,8.13,1.0,3.4,6.55,51.3,75.32,0.43,184.78,4.23,994.2,10.35,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 07:30:00,2022-01-03 07:00:00,2022-01-03 08:00:00,251.0,331.75,54.57,62.97,76.28,68.92,8.07,1.1,3.83,6.55,45.35,77.0,0.43,149.7,10.15,994.58,9.88,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 08:30:00,2022-01-03 08:00:00,2022-01-03 09:00:00,263.25,385.0,52.73,73.17,81.85,65.62,8.62,1.25,3.65,6.95,41.7,73.05,0.43,115.4,30.5,995.1,11.1,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 09:30:00,2022-01-03 09:00:00,2022-01-03 10:00:00,271.25,524.25,46.55,91.0,86.4,56.75,10.07,1.3,4.15,6.62,44.05,66.57,0.68,148.65,53.5,995.72,13.2,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 10:30:00,2022-01-03 10:00:00,2022-01-03 11:00:00,255.0,508.5,20.68,95.38,67.55,56.9,12.43,1.12,19.0,5.93,42.62,56.52,1.32,162.22,117.45,995.45,16.07,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 11:30:00,2022-01-03 11:00:00,2022-01-03 12:00:00,216.25,331.25,9.35,87.17,53.92,55.97,13.62,0.93,40.35,5.4,37.28,49.38,1.4,167.72,142.93,994.75,18.68,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 12:30:00,2022-01-03 12:00:00,2022-01-03 13:00:00,192.75,293.75,5.85,75.6,44.98,56.88,15.6,0.88,64.38,4.53,29.88,45.97,1.45,173.85,299.15,993.62,20.57,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 13:30:00,2022-01-03 13:00:00,2022-01-03 14:00:00,168.25,267.75,4.75,64.8,38.3,63.2,14.02,0.8,77.4,4.38,30.6,45.65,1.9,171.02,163.03,992.85,20.95,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 14:30:00,2022-01-03 14:00:00,2022-01-03 15:00:00,145.75,230.25,3.92,59.6,34.97,58.2,11.2,0.7,82.0,4.05,28.5,44.45,1.82,164.65,85.9,992.2,20.82,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 15:30:00,2022-01-03 15:00:00,2022-01-03 16:00:00,131.25,215.0,3.7,69.1,39.8,55.47,10.55,0.77,78.65,3.98,32.03,45.08,1.58,162.8,61.08,991.9,20.6,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 16:30:00,2022-01-03 16:00:00,2022-01-03 17:00:00,140.75,241.0,6.2,95.23,55.73,53.4,11.08,1.0,50.9,4.4,45.47,48.7,1.0,154.25,32.08,991.98,19.52,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 17:30:00,2022-01-03 17:00:00,2022-01-03 18:00:00,159.0,274.75,9.7,115.22,69.2,46.7,11.15,1.23,17.43,5.15,53.95,55.53,0.45,151.32,8.12,992.2,17.3,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 18:30:00,2022-01-03 18:00:00,2022-01-03 19:00:00,178.0,293.25,28.43,120.45,87.17,49.6,11.23,1.68,6.38,5.67,54.35,62.62,0.42,145.42,4.12,992.65,15.73,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 19:30:00,2022-01-03 19:00:00,2022-01-03 20:00:00,237.25,363.25,97.88,124.9,146.35,55.55,11.95,2.73,3.8,7.9,72.3,65.82,0.43,148.05,4.1,993.15,15.22,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 20:30:00,2022-01-03 20:00:00,2022-01-03 21:00:00,272.75,428.25,138.7,123.22,178.58,58.32,13.45,3.35,4.57,9.78,93.88,66.58,0.35,140.0,4.1,993.18,15.05,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 21:30:00,2022-01-03 21:00:00,2022-01-03 22:00:00,302.75,470.5,270.15,120.72,284.27,75.33,14.27,5.25,5.03,13.03,117.5,69.0,0.55,140.8,4.12,993.35,14.53,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 22:30:00,2022-01-03 22:00:00,2022-01-03 23:00:00,354.0,541.0,141.02,115.8,176.62,71.58,12.45,3.48,3.25,13.35,112.15,65.32,0.43,143.35,4.1,993.85,15.2,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-03 23:30:00,2022-01-03 23:00:00,2022-01-04 00:00:00,278.75,399.0,105.22,106.25,142.17,68.35,11.0,2.63,2.93,10.07,79.48,67.12,0.4,133.15,4.12,993.9,14.43,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 00:30:00,2022-01-04 00:00:00,2022-01-04 01:00:00,257.75,373.5,89.43,94.83,123.28,69.12,10.3,1.35,3.2,9.28,73.25,69.68,0.43,282.6,4.12,993.77,13.98,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 01:30:00,2022-01-04 01:00:00,2022-01-04 02:00:00,254.75,360.0,88.35,83.67,116.47,58.2,10.6,1.35,2.67,8.32,75.6,72.3,0.4,298.82,4.12,993.3,13.15,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 02:30:00,2022-01-04 02:00:00,2022-01-04 03:00:00,266.5,,127.62,76.08,144.3,57.4,12.22,1.27,2.6,8.18,82.8,75.6,0.33,238.68,4.17,993.12,12.35,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 03:30:00,2022-01-04 03:00:00,2022-01-04 04:00:00,260.5,,113.92,77.1,133.93,53.6,12.48,0.93,2.75,7.45,76.45,76.57,0.45,196.93,4.15,992.95,12.12,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 04:30:00,2022-01-04 04:00:00,2022-01-04 05:00:00,237.25,,78.02,75.6,103.58,54.38,11.82,0.62,3.4,6.62,65.73,75.45,0.62,110.32,4.12,992.53,12.2,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 05:30:00,2022-01-04 05:00:00,2022-01-04 06:00:00,234.5,,92.4,68.17,111.38,69.15,10.93,0.67,4.02,6.72,65.47,77.9,0.55,83.07,4.15,992.4,11.32,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 06:30:00,2022-01-04 06:00:00,2022-01-04 07:00:00,233.0,,126.5,62.1,136.28,66.72,10.6,1.55,4.03,6.72,63.5,77.62,0.72,77.65,4.15,992.85,11.55,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 07:30:00,2022-01-04 07:00:00,2022-01-04 08:00:00,235.5,,138.18,73.42,151.45,73.4,8.8,1.6,3.15,7.38,70.57,74.83,0.52,185.93,10.15,993.7,12.4,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 08:30:00,2022-01-04 08:00:00,2022-01-04 09:00:00,249.0,,122.3,83.35,144.1,67.45,9.57,1.77,3.42,8.4,73.1,71.0,0.55,141.47,40.05,994.15,13.75,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 09:30:00,2022-01-04 09:00:00,2022-01-04 10:00:00,265.0,,87.7,100.33,124.78,58.15,10.17,1.7,3.65,7.73,70.03,63.65,0.62,120.6,69.53,994.8,15.85,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 10:30:00,2022-01-04 10:00:00,2022-01-04 11:00:00,249.75,357.0,60.02,112.95,108.92,58.52,11.45,1.53,6.25,6.88,65.15,55.05,1.32,157.62,120.83,995.3,18.38,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 11:30:00,2022-01-04 11:00:00,2022-01-04 12:00:00,199.0,319.0,21.05,98.35,69.47,57.77,13.28,0.83,19.88,5.27,49.02,43.88,1.38,169.07,159.6,994.35,21.02,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 12:30:00,2022-01-04 12:00:00,2022-01-04 13:00:00,121.25,193.75,11.0,76.27,49.53,55.15,11.87,0.62,37.12,3.65,58.1,39.0,1.72,166.52,287.85,993.3,22.93,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 13:30:00,2022-01-04 13:00:00,2022-01-04 14:00:00,86.0,151.75,6.95,67.28,41.48,53.77,8.43,0.45,48.9,2.88,62.33,37.95,1.25,153.85,159.53,992.4,22.9,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 14:30:00,2022-01-04 14:00:00,2022-01-04 15:00:00,66.25,141.25,5.48,78.05,45.85,52.35,7.78,0.6,65.12,3.45,56.92,39.15,1.45,164.72,106.05,991.75,22.48,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 15:30:00,2022-01-04 15:00:00,2022-01-04 16:00:00,91.75,189.5,3.55,87.48,49.45,49.27,9.0,0.68,65.15,4.3,66.42,41.17,0.87,165.83,74.0,991.33,21.95,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 16:30:00,2022-01-04 16:00:00,2022-01-04 17:00:00,105.5,211.5,2.58,76.0,42.5,50.75,12.57,0.7,75.03,5.88,219.4,42.5,1.27,175.13,37.83,991.08,21.28,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 17:30:00,2022-01-04 17:00:00,2022-01-04 18:00:00,116.5,243.25,37.73,103.65,85.55,43.42,18.05,1.13,23.02,5.6,130.55,47.25,0.72,170.48,9.3,991.55,19.52,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 18:30:00,2022-01-04 18:00:00,2022-01-04 19:00:00,147.0,303.0,69.25,123.4,122.15,51.43,21.27,2.0,5.12,9.2,204.13,50.15,0.6,166.85,4.07,991.82,18.3,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 19:30:00,2022-01-04 19:00:00,2022-01-04 20:00:00,204.25,349.75,143.0,101.12,170.18,45.97,18.3,2.75,4.6,10.5,260.9,52.98,0.38,170.88,4.07,992.35,17.33,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 20:30:00,2022-01-04 20:00:00,2022-01-04 21:00:00,218.25,410.25,346.6,111.9,376.12,64.15,20.75,6.02,5.92,13.15,204.95,59.12,0.47,136.25,4.12,992.7,16.38,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 21:30:00,2022-01-04 21:00:00,2022-01-04 22:00:00,316.5,594.75,466.32,112.53,439.88,67.7,20.8,7.6,6.55,15.5,317.12,61.17,0.55,77.83,4.17,993.4,16.23,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-04 22:30:00,2022-01-04 22:00:00,2022-01-04 23:00:00,412.5,730.25,459.57,100.75,437.5,75.1,19.5,8.02,4.78,,210.62,64.12,0.42,56.62,4.15,993.4,15.75,0.0,0.0,28.530785,77.271255
